,speaker,preprocessed
189,Biden,This is the same man who told you-
191,Biden,"... by Easter, this would be gone away. By the warm weather, it'd be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man."
193,Biden,"So here's the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will."
197,Biden,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.
199,Biden,Everybody knows-
201,Biden,"Well, no, no. You can trust the scientist. She didn't say that. You can trust the-"
203,Biden,"Yes. Well, that's what he's going to try to do, but there's thousands of scientists out there, like here at this great hospital that don't work for him. Their job doesn't depend on him. They're the people... And by the way-"
205,Biden,By the way-
208,Biden,"Do you believe for a moment what he's telling you in light of all the lies he's told you about the whole issue relating to COVID? He still hasn't even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn't even tell you. He's on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-"
211,Biden,"Oh, give me a break."
213,Biden,"Well, let's have this debate-"
218,Biden,"Because he doesn't have a plan. If I were running it, I'd know what the plan is. You've got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-"
220,Biden,Will he just shush for a minute?
222,Biden,"Nancy Pelosi and Schumer, they have a plan. He won't even meet with them. The Republicans won't meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it."
226,Biden,You just admitted you'd shut it down.
231,Biden,I got to respond to that.
236,Biden,I got to respond to that.
240,Biden,Just like your rally.
245,Biden,"Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-"
247,Biden,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we'd probably save up to 100,000 lives. It matters. It matters."
249,Biden,No serious person has said the opposite. No serious person.
252,Biden,He did not say the opposite.
269,Biden,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I'm way far away from those other people. That's what he said, I'm going to be okay. He's not worried about you. He's not worried about the people out there  ."
271,Biden,No negative effect. Come on.
274,Biden,"Yes, I would. He's been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He's a fool on this."
287,Biden,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes."
292,Biden,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he's going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history."
293,Biden,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who've been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the... You can't fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety."
294,Biden,"Schools. Why aren't schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn't do that because it's not a national emergency. Not a national emergency. They've done nothing to help small businesses. Nothing. They're closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely."
301,Biden,People want to be safe.
303,Biden,People want to be safe.
309,Biden,Show us your tax returns.
311,Biden,Show us your tax returns.
316,Biden,Release your tax return.
325,Biden,When?
327,Biden,In  ?
330,Biden,"Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him... He says he's smart because he can take advantage of the tax code. And he does take advantage of the tax code. That's why I'm going to eliminate the Trump tax cuts. And I'm going to eliminate those tax cuts."
332,Biden,And make sure that we invest in the people who in fact need the help. People out there need help.
334,Biden,Because you weren't president-
336,Biden,Because you weren't president and screwing things up.
338,Biden,You're the worst president America has ever had. Come on.
346,Biden,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we're going to make sure that every penny of that has to be made by a company-"
348,Biden,"By the way, I'm going to eliminate a significant number of the taxes. I'm going to make the corporate tax 28%. It shouldn't be 21%. You have 91 companies federal, I mean, the fortune 500, who don't pay a single penny in tax making billions of dollars."
350,Biden,"Because you in fact passed that, that was your tax proposal."
352,Biden,"Yeah, you got it done-"
354,Biden,The economy-
356,Biden,Let me finish.
358,Biden,Not lower tax for the American people.
363,Biden,Look-
365,Biden,"... we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you're talking about. We handed him a booming economy, he blew it."
367,Biden,He blew it.
372,Biden,"Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-"
374,Biden,... number one. Number two-
376,Biden,Number three.
378,Biden,No.
380,Biden,This guy-
382,Biden,We did not.
384,Biden,I'm the guy that brought back the automobile industry.
387,Biden,"I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They're gone. He blew it. And in fact, they're gone-"
389,Biden,That is not true.
392,Biden,And so you take a look at what he's actually done. He's done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China's perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-
394,Biden,... with Mexico.
396,Biden,That is not true.
398,Biden,None of that is true.
401,Biden,None of that is true.
404,Biden,Is totally-
406,Biden,Totally discredited. Totally discredited. And by the way-
408,Biden,Mr. Vice-
412,Biden,That is not true.
416,Biden,It is not a fact.
418,Biden,It's been totally discredited.
421,Biden,My son did nothing wrong at Barisma-
424,Biden,"He doesn't want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-"
426,Biden,And you can-
428,Biden,"by everybody. Well, by the media, by our allies."
430,Biden,By the World Bank-
432,Biden,"By everyone, has discredited. And matter of fact   Matter of fact-"
434,Biden,Even the people who testified under oath-
437,Biden,Even the people under-
439,Biden,... testified under oath in his administration said I did my job and I did it very well.
441,Biden,I did it honorably.
443,Biden,"Well, I'll give you the list of the people who-"
446,Biden,"I'm sure that you've already fired most of them, because they did a good job."
448,Biden,"Well, here's the-"
450,Biden,"Well, it's hard to get any word in with this clown. Excuse me, this person."
452,Biden,"No, no. Mr. President-"
454,Biden,That is simply not true.
456,Biden,"Look, here's the deal. We want to talk about families and ethics. I don't want to do that. I mean, his family, we could talk about all night. His family's already-"
460,Biden,And that's such a-
463,Biden,"This is not about my family or his family. It's about your family, the American people.   That's not true. It doesn't want to talk about what you need. You, the American people, it's about you. That's what we're talking about here."
465,Biden,He didn't take that.
468,Biden,Try to be honest.
475,Biden,That is absolutely not true.
477,Biden,That's a good point.
489,Biden,"It's about equity and equality. It's about decency. It's about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we've never accomplished it, but we've never walked away from it like he has done. It is true, the reason I got in the race is when those people... Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, There were very fine people on both sides. No president's ever said anything like that.  ."
491,Biden,Now-
493,Biden,"... second point I'd make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division."
494,Biden,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn't do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man's done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community."
498,Biden,I've never said-
503,Biden,"Yes, there is. There's systemic injustice in this country, in education and work and in law enforcement and the way in which it's enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I'm going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we're going to work this out."
504,Biden,"We're going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren't happy to see what happened to George Floyd. These cops aren't happy to see what happened to Breonna Taylor. Most don't like it, but we have to have a system where people are held accountable when... And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate."
509,Biden,That is not peaceful protest.
518,Biden,Nobody's doing that. He's the racist.
520,Biden,Here's the deal. I know a lot more about this-  .
522,Biden,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It's important people know. Many people don't want to hurt other people's feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It's a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don't have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we're all Americans. The only way we're going to bring this country together is bring everybody together. There's nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American."
525,Biden,Oh my Lord.
527,Biden,This is ridiculous.
529,Biden,Absolutely ridiculous.
531,Biden,Violent crime-
533,Biden,I'm in favor of law. You-  .
536,Biden,"Law and order with justice, where people get treated fairly."
538,Biden,"And the fact of the matter is, violent crime went down 17%, 15% in our administration. It's gone up on his watch."
545,Biden,He wouldn't know a suburb unless you took a wrong turn.
548,Biden,"I was raised in the suburbs. This is not 1950. All these dog whistles and racism don't work anymore. Suburbs are by and large integrated. There's many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They're dying in the suburbs. His failure to deal with the environment, they're being flooded, they're being burned out because his refusal to do anything. That's why the suburbs are in trouble."
550,Biden,"Look, what I support are the police having the opportunity to deal with the problems they face and I'm totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before where the officers get to know the people in the communities. That's when crime went down, it didn't go up. It went down. And so we have to be..."
552,Biden,That is not true.
554,Biden,That's not true.
556,Biden,We don't have time to do anything.
561,Biden,I don't hold public office. Now I am a former vice president. I've made it clear. I've made it clear in my public statements that the violence should be prosecuted. It should be prosecuted and anyone who committed it should be prosecuted.
565,Biden,They can in fact take care of it if he just stay out of the way.
568,Biden,"And by the way his own former spokesperson said, Riots and chaos and violence help he cause. That's what this is all about."
570,Biden,I do.
572,Biden,I think Kellyanne Conway.
574,Biden,She said that.
576,Biden,"Here's the point, the point is that that's why he keeps trying to rile everything up. He doesn't want to calm things down instead of going in and talking to people and saying, Let's get everybody together. Figure out how to deal with this. What's he do? He just pours gasoline in the fire constantly and every single solitary time."
592,Biden,"Say it, do it say it."
596,Biden,"He's own FBI Director said unlike white supremacist, Antifa is an idea not an organization-"
598,Biden,... not a militia. That's what his FBI Director said.
602,Biden,"Every body in your administration tells you the true, it's a bad idea. You have no idea about anything."
611,Biden,"Under this president, we become weaker, sicker, poor, more divided and more violent. When I was vice president, we inherited a recession. I was asked to fix it. I did. We left him a booming economy and he caused the recession. With regard to being weaker, the fact is that I've gone head to head with Putin and made it clear to him we're not going to take any of his stuff. He's Putin's puppy. He still refuses to even say anything to Putin about the bounty on the heads of American soldiers."
613,Biden,"By the way, my son..."
615,Biden,He never keeps his word.
617,Biden,Can you get back 30 seconds?
619,Biden,"So thirdly, we're poor. The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID. You in the home, you got less you're in more trouble than you were before. In terms of being more violent. When we were in office there were 15% less violence in America than there is today. He's President United States. It's on his watch. And with regard to more divided the nation, it can't stay divided. We can't be this way. And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers. My son was in Iraq. He spent a year there. He got the Brown Star. He got the Conspicuous Service Medal. He was not a loser. He was a Patriot and the people left behind there were heroes."
621,Biden,And I resent-
623,Biden,"I'm talking about my son, Beau Biden, you're talking about Hunter?"
625,Biden,That's not true he was not dishonorably discharged.
627,Biden,None of that is true.
629,Biden,That is not true.
631,Biden,"My son like a lot of people at home had a drug problem. He's overtaking it. He's fixed it. He's worked on it. And I'm proud of him, I'm proud of my son."
633,Biden,He wasn't given tens of millions of dollars.   It was all discredited.
636,Biden,That is not true. That report is totally discredited.
638,Biden,Mitt Romney on that committee said it wasn't worth taxpayer's money. That report was written for political reason.
640,Biden,So would I.
649,Biden,Why have you relaxed fuel economy standards that are going to create more pollution from cars and trucks?
654,Biden,"He's absolutely wrong, number one. Number two, if in fact, during our administration in the recovery act, I was in charge able to bring down the cost of renewable energy to cheaper than are as cheap as coal and gas and oil. Nobody's going to build another coal fired plant in America. No one's going to build another oil fire plant in America. They're going to move to renewable energy. Number one, number two, we're going to make sure that we are able to take the federal fleet and turn it into a fleet that's run on their electric vehicles. Making sure that we can do that, we're going to put 500,000 charging stations in all of the highways that we're going to be building in the future. We're going to build a economy that in fact is going to provide for the ability of us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will they'll emit significantly less gas and oil because the heat will not be going out. There's so many things that we can do..."
655,Biden,"Gas and oil because the heat will not be going out. There's so many things that we can do now to create thousands and thousands of jobs. We can get to net zero, in terms of energy production, by 2035. Not only not costing people jobs, creating jobs, creating millions of good-paying jobs. Not 15 bucks an hour, but prevailing wage, by having a new infrastructure that in fact, is green. And the first thing I will do, I will rejoin the Paris Accord. I will join the Paris Accord because with us out of it, look what's happening. It's all falling apart. And talk about someone who has no relationship with foreign policy. The rainforests of Brazil are being torn down, are being ripped down. More carbon is absorbed in that rainforest than every bit of carbon that's emitted in the United States. Instead of doing something about that, I would be gathering up and making sure we had the countries of the world coming up with $20 billion, and say, Here's $20 billion. Stop tearing down the forest. And If you don't, then you're going to have significant economic consequences."
657,Biden,"Well, he hasn't drawn a line. He wants to make sure that methane's not a problem. You can now emit more methane without it being a problem. Methane. This is a guy who says that you don't have to have mileage standards for automobiles that exist now. This is the guy who says that, the fact that-"
659,Biden,It's all true. And here's the deal-
661,Biden,I'm talking about the Biden plan  -
664,Biden,No.
666,Biden,That is not-
668,Biden,Not true-
670,Biden,Not true.
672,Biden,Not true.
674,Biden,Simply... Look-
676,Biden,That is simply not the case-
678,Biden,"What it's going to do, it's going to create thousands and millions of jobs. Good paying jobs  ."
680,Biden,He doesn't know how to do that-
682,Biden,"The fact is, it's going to create millions of good paying jobs, and these tax incentives for people to weatherize, which he wants to get rid of. It's going to make the economy much safer. Look how much we're paying now to deal with the hurricanes, deal with... By the way, he has an answer for hurricanes. He said, maybe we should drop a nuclear weapon on them, and they may-"
684,Biden,"Yeah, he did say that-"
686,Biden,And here's the deal-
688,Biden,"... we're going to be in a position where we can create hard, hard, good jobs by making sure the environment is clean, and we all are in better shape. We spend billions of dollars now, billions of dollars, on floods, hurricanes, rising seas. We're in real trouble. Look what's happened just in the Midwest with these storms that come through and wipe out entire sections and counties in Iowa. They didn't happen before. They're because of global warming. We make up 15% of the world's problem. But the rest of the world, we've got to get them to come along. That's why we have to get back into the Paris Accord."
691,Biden,For 47-
693,Biden,That is not my plan  . The Green New Deal   is not my plan.  -
698,Biden,I did not say that-
702,Biden,Play it. Play it-
706,Biden,"The final question is, I can't remember which of all his rantings  ."
708,Biden,Yeah.
710,Biden,The economy-
712,Biden,"The Green New Deal will pay for itself as we move forward. We're not going to build plants that, in fact, are great polluting plants-"
714,Biden,Pardon me?
716,Biden,"No, I don't support the Green New Deal."
718,Biden,I support  -
720,Biden,I support   the Biden plan that I put forward.
722,Biden,"The Biden plan, which is different than what he calls the radical Green New Deal."
724,Biden,"Prepare to let people vote. They should go to iwillvote.com, decide how they're going to vote, when they're going to vote, and what means by which they're going to vote. His own Homeland Security director, and as well as the FBI director, says that there is no evidence at all that mail-in ballots are a source of being manipulated and cheating. They said that. The fact is that there are going to be millions of people because of COVID that are going to be voting by mail-in ballots like he does, by the way. He sits behind the Resolute Desk and sends his ballot to Florida, number one. Number two, we're going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance. The polls are open on time, and the polls stay open until the votes are counted. And this is all about trying to dissuade people from voting because he's trying to scare people into thinking that it's not going to be legitimate."
725,Biden,"Show up and vote. You will determine the outcome of this election. Vote, vote, vote. If you're able to vote early in your state, vote early. If you're able to vote in person, vote in person. Vote whatever way is the best way for you, because you will... He cannot stop you from being able to determine the outcome of this election. And in terms of whether or not... When the votes are counted and they're all counted, that will be accepted. If I win, that will be accepted. If I lose, that'll be accepted. But by the way, if in fact he says, he's not sure what he's going to accept. Well, let me tell you something, it doesn't matter, because if we get the votes, it's going to be all over. He's going to go. He can't stay in power. It won't happen. It won't happen, so vote. Just make sure you understand, you have it in your control to determine what this country is going to look like the next four years. Is it going to change, or are you going to get four more years of these lies?"
746,Biden,There is no  ... There is no evidence of that-
748,Biden,There is no evidence of that-
751,Biden,"Five states have had mail-in ballots for the last decade or more. Five, including two Republican states. And you don't have to solicit the ballot. It's sent to you. It's sent to your home. What they're saying is that it has to be a postmark by election day. If it doesn't get in until the seventh, eighth, ninth, it still should be counted. He's just afraid of counting the votes-"
756,Biden,"I am concerned that any court would settle this, because here's the deal. When you get a ballot and you fill it out, you're supposed to have an affidavit. If you didn't know, you have someone say that, this is me. You should be able to, if in fact you can verify that's you before the ballot is thrown out, that's sufficient to be able to count the ballot because someone made a mistake and not dotting the correct I. Who they voted for, testify, say who they voted for, say it's you. That is totally legitimate."
761,Biden,Mail service delivers   185 million pieces of mail a day  -
779,Biden,"Yes. And here's the deal. We count the ballots, as you pointed out. Some of these ballots in some states can't even be opened until election day. And if there's thousands of ballots, it's going to take time to do it. And by the way, our military... They've been voting by ballots since the end of the Civil War, in effect. And that's what's going to happen. Why is it, for them, somehow not fraudulent. It's the same process. It's honest. No one has established at all that there is fraud related to mail-in ballots, that somehow it's a fraudulent process."
782,Biden,"He has no idea what he's talking about. Here's the deal. The fact is, I will accept it, and he will too. You know why? Because once the winner is declared after all the ballots are counted, all the votes are counted, that'll be the end of it. That'll be the end of it. And if it's me, in fact, fine. If it's not me, I'll support the outcome. And I'll be a president, not just for the Democrats. I'll be a president for Democrats and Republicans. And this guy-"
